name,org_nr,address,post_code,post_area,rating,price_level,user_ratings_total,agg_grade,mean_inspection_type,total_inspections,website,reservable,dine_in,mean_grade,count_grade_0,count_grade1,count_grade2,count_grade3,latlng
Feniqia Oslo AS,925631531,Rostockgata 66,0194,OSLO,4.5,,287.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.906149, 10.760686]"
Festningen Restaurant,989843435,MYNTGATA 9,0151,OSLO,4.4,3,758.0,7,0.25,8,1,,,0.875,3,3,2,0,"[59.908378, 10.735619]"
Finnerud Sportsstue/Kafe,975893103,Sakariasveien 276,0758,OSLO,4.8,2,94.0,1,0.0,1,1,,,1.0,0,1,0,0,"[60.0312289, 10.6398649]"
First Hotel Millennium,925376272,Tollbugata 25,0157,OSLO,3.8,,851.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.911253, 10.741153]"
Fiskeriet Youngstorget,911637529,Youngstorget 2,0181,OSLO,4.4,,1450.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.914553, 10.749678]"
Fjordterrassen Cafe,874113662,Bygdøynesveien 37,0286,OSLO,4.0,,5.0,2,0.3333333333333333,3,1,,,0.6666666666666666,2,0,1,0,"[59.90287, 10.698052]"
Fjøla,991464964,JERNBANETORGET 1,0154,OSLO,3.5,,347.0,9,0.3333333333333333,9,1,,,1.0,3,3,3,0,"[59.910875, 10.750737]"
Flamenco pizza,921596278,Trondheimsveien 391,0953,OSLO,3.3,,68.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.952359, 10.867368]"
Flamme Burger Grunerløkka AS,926745166,Thorvald Meyers Gate 87,0550,OSLO,4.2,,140.0,3,0.3333333333333333,3,1,,,1.0,1,1,1,0,"[59.918919, 10.759225]"
Flints Baguette & Grill ,921898088,Professor Birkelands vei 27B,1081,OSLO,4.1,,72.0,10,0.6666666666666666,6,1,,,1.6666666666666667,2,0,2,2,"[59.9416671, 10.8829067]"
Fly Chicken,921045220,Vitaminveien 31,0485,OSLO,4.0,,195.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.947235, 10.77158]"
Fly Chicken ,921045220,Kongens gate 23,0153,OSLO,3.9,,70.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.911562, 10.743066]"
Foodies ,999028438,Tordenskiolds gate 6,0160,OSLO,4.3,,380.0,5,0.3333333333333333,6,1,,,0.8333333333333334,3,1,2,0,"[59.912781, 10.73635]"
Forest & Brown ,885043542,Niels Juels gate 31,0257,OSLO,4.0,,1.0,10,0.3,10,1,,,1.0,4,2,4,0,"[59.91678, 10.714861]"
"Fra Dypet, Vippa",925779318,Akershusstranda 25,0150,OSLO,4.3,,2932.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.901814, 10.741166]"
Framheim,973366580,Bygdøynesveien 36,0286,OSLO,4.7,,7748.0,8,0.25,8,1,,,1.0,3,3,1,1,"[59.903424, 10.698275]"
Freddy Fuego AS,914545730,HAUSMANNS GATE 31A,0182,OSLO,4.6,1,1145.0,5,0.1428571428571428,7,1,,,0.7142857142857143,3,3,1,0,"[59.917787, 10.753884]"
Frenchie ,920540953,Henrik Ibsens gate 100,0255,OSLO,4.1,2,68.0,2,0.3333333333333333,3,1,,,0.6666666666666666,2,0,1,0,"[59.914391, 10.718977]"
Frognerseteren Restaurant ,973212079,Holmenkollveien 200,0791,OSLO,4.4,2,2589.0,7,0.3333333333333333,9,1,,,0.7777777777777778,5,1,3,0,"[59.977545, 10.677378]"
Frognerstranda Kro,972059439,Frognerstranda 4,0250,OSLO,4.0,2,542.0,2,0.5,2,1,,,1.0,1,0,1,0,"[59.9103636, 10.7054633]"
Fru Aasta AS,921172737,Østensjøveien 79,0667,OSLO,4.4,,11.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.903192, 10.822458]"
Fuglen,971717572,Universitetsgata 2,0164,OSLO,4.5,2,1182.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.9175897, 10.7398737]"
Fun Kitchen Oslo AS,924986530,Hegdehaugsveien 31,0352,OSLO,4.1,,123.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.922156, 10.727234]"
Furuset Pizza og Grill,980309584,Trygve Lies Plass 1,1051,OSLO,3.7,1,211.0,4,0.5,4,1,,,1.0,2,0,2,0,"[59.9410672, 10.8980191]"
